seat_key,seat_type,state,current_name,current_seat,names,n_names,first_year,last_year,n_contests,still_current
federal|Sabah|labuk-sugut,federal,Sabah,Labuk-Sugut,P.117 Labuk-Sugut,Labuk-Sugut,1,1970,1970,1,False
federal|Sabah|lahad datu,federal,Sabah,Lahad Datu,P.188 Lahad Datu,Lahad Datu,1,2022,2022,1,True
federal|Sabah|libaran,federal,Sabah,Libaran,P.184 Libaran,Libaran,1,1995,2022,7,True
federal|Sabah|limbawang,federal,Sabah,Limbawang,P.148 Limbawang,Limbawang,1,1986,1990,3,False
federal|Sabah|marudu,federal,Sabah,Marudu,P.146 Marudu,Marudu,1,1970,1999,8,False
federal|Sabah|padas,federal,Sabah,Padas,P.149 Padas,Padas,1,1986,1990,2,False
federal|Sabah|papar,federal,Sabah,Papar,P.175 Papar,Papar,1,1986,2022,9,True
federal|Sabah|penampang,federal,Sabah,Penampang,P.174 Penampang,Penampang,1,1970,2022,13,True
federal|Sabah|pensiangan,federal,Sabah,Pensiangan,P.182 Pensiangan,Pensiangan,1,1986,2022,7,True
federal|Sabah|putatan,federal,Sabah,Putatan,P.173 Putatan,Putatan,1,2004,2022,5,True
federal|Sabah|ranau,federal,Sabah,Ranau,P.179 Ranau,Ranau,1,2004,2022,5,True
federal|Sabah|sabah dalam,federal,Sabah,Sabah Dalam,P.114 Sabah Dalam,Sabah Dalam,1,1970,1970,1,False
federal|Sabah|sabah selatan,federal,Sabah,Sabah Selatan,P.113 Sabah Selatan,Sabah Selatan,1,1970,1970,1,False
federal|Sabah|sandakan,federal,Sabah,Sandakan,P.186 Sandakan,Sandakan,1,1970,2022,14,True
federal|Sabah|semporna,federal,Sabah,Semporna,P.189 Semporna,Semporna,1,1986,2022,9,True
federal|Sabah|sepanggar,federal,Sabah,Sepanggar,P.171 Sepanggar,Sepanggar,1,2004,2022,5,True
federal|Sabah|silam,federal,Sabah,Silam,P.188 Silam,Silam,1,1974,2018,11,False
federal|Sabah|sipitang,federal,Sabah,Sipitang,P.178 Sipitang,Sipitang,1,1995,2022,7,True
federal|Sabah|tanjong aru,federal,Sabah,Tanjong Aru,P.151 Tanjong Aru,Tanjong Aru,1,1986,1999,4,False
federal|Sabah|tawau,federal,Sabah,Tawau,P.190 Tawau,Tawau,1,1970,2022,13,True
federal|Sabah|tenom,federal,Sabah,Tenom,P.181 Tenom,Tenom,1,1995,2022,7,True
federal|Sabah|tuaran,federal,Sabah,Tuaran,P.170 Tuaran,Tuaran,1,1970,2022,13,True
federal|Sarawak|bandar kuching,federal,Sarawak,Bandar Kuching,P.195 Bandar Kuching,Bandar Kuching,1,1970,2022,13,True
federal|Sarawak|bandar sibu,federal,Sarawak,Bandar Sibu,P.144 Bandar Sibu,Bandar Sibu,1,1970,1974,2,False
federal|Sarawak|baram,federal,Sarawak,Baram,P.220 Baram,Baram,1,1970,2022,13,True
federal|Sarawak|batang lupar,federal,Sarawak,Batang Lupar,P.201 Batang Lupar,Batang Lupar,1,1970,2022,13,True
federal|Sarawak|batang sadong,federal,Sarawak,Batang Sadong,P.200 Batang Sadong,Batang Sadong,1,1990,2022,8,True
federal|Sarawak|bau-lundu,federal,Sarawak,Bau-Lundu,P.131 Bau-Lundu,Bau-Lundu,1,1970,1974,3,False
federal|Sarawak|betong,federal,Sarawak,Betong,P.204 Betong,Betong,1,1970,2022,13,True
federal|Sarawak|bintulu,federal,Sarawak,Bintulu,P.217 Bintulu,Bintulu,1,1970,2022,13,True
federal|Sarawak|bukit mas,federal,Sarawak,Bukit Mas,P.219 Bukit Mas,Bukit Mas,1,1978,2004,7,False
federal|Sarawak|hulu rajang,federal,Sarawak,Hulu Rajang,P.216 Hulu Rajang,Hulu Rajang / Ulu Rajang,2,1970,2022,13,True
federal|Sarawak|igan,federal,Sarawak,Igan,P.207 Igan,Igan,1,2008,2022,4,True
federal|Sarawak|julau,federal,Sarawak,Julau,P.209 Julau,Julau,1,1970,2022,13,True
federal|Sarawak|kanowit,federal,Sarawak,Kanowit,P.210 Kanowit,Kanowit,1,1970,2022,13,True
federal|Sarawak|kapit,federal,Sarawak,Kapit,P.215 Kapit,Kapit,1,1970,2022,13,True
federal|Sarawak|kota samarahan,federal,Sarawak,Kota Samarahan,P.197 Kota Samarahan,Kota Samarahan,1,1990,2022,8,True
federal|Sarawak|kuala rajang,federal,Sarawak,Kuala Rajang,P.206 Kuala Rajang,Kuala Rajang,1,1990,2004,4,False
federal|Sarawak|lambir,federal,Sarawak,Lambir,P.175 Lambir,Lambir,1,1978,1986,3,False
federal|Sarawak|lanang,federal,Sarawak,Lanang,P.211 Lanang,Lanang,1,1990,2022,8,True
federal|Sarawak|lawas,federal,Sarawak,Lawas,P.222 Lawas,Lawas,1,2008,2022,4,True
federal|Sarawak|limbang,federal,Sarawak,Limbang,P.221 Limbang,Limbang,1,2008,2022,4,True
federal|Sarawak|limbang-lawas,federal,Sarawak,Limbang-Lawas,P.154 Limbang-Lawas,Limbang-Lawas,1,1970,1974,2,False
federal|Sarawak|lubok antu,federal,Sarawak,Lubok Antu,P.203 Lubok Antu,Lubok Antu,1,1970,2022,14,True
federal|Sarawak|mambong,federal,Sarawak,Mambong,P.198 Mambong,Mambong,1,1999,2013,4,False
federal|Sarawak|mas gading,federal,Sarawak,Mas Gading,P.192 Mas Gading,Mas Gading,1,1978,2022,11,True
federal|Sarawak|miri,federal,Sarawak,Miri,P.219 Miri,Miri,1,1990,2022,8,True
federal|Sarawak|miri-subis,federal,Sarawak,Miri-Subis,P.152 Miri-Subis,Miri-Subis,1,1970,1974,2,False
federal|Sarawak|mukah,federal,Sarawak,Mukah,P.213 Mukah,Mukah,1,1970,2022,14,True
federal|Sarawak|padawan,federal,Sarawak,Padawan,P.170 Padawan,Padawan,1,1970,1995,7,False
federal|Sarawak|paloh,federal,Sarawak,Paloh,P.165 Paloh,Paloh,1,1978,1986,4,False
federal|Sarawak|payang,federal,Sarawak,Payang,P.143 Payang,Payang,1,1970,1974,2,False
federal|Sarawak|petra jaya,federal,Sarawak,Petra Jaya,P.194 Petra Jaya,Petra Jaya,1,1990,2022,8,True
federal|Sarawak|puncak borneo,federal,Sarawak,Puncak Borneo,P.198 Puncak Borneo,Puncak Borneo,1,2018,2022,2,True
federal|Sarawak|rajang,federal,Sarawak,Rajang,P.168 Rajang,Rajang,1,1970,1986,6,False
federal|Sarawak|samarahan,federal,Sarawak,Samarahan,P.157 Samarahan,Samarahan,1,1970,1986,5,False
federal|Sarawak|santubong,federal,Sarawak,Santubong,P.193 Santubong,Santubong,1,1970,2022,13,True
federal|Sarawak|saratok,federal,Sarawak,Saratok,P.205 Saratok,Saratok,1,1970,2022,13,True
federal|Sarawak|sarikei,federal,Sarawak,Sarikei,P.208 Sarikei,Sarikei,1,1970,2022,13,True
federal|Sarawak|selangau,federal,Sarawak,Selangau,P.214 Selangau,Selangau,1,1990,2022,8,True
federal|Sarawak|serian,federal,Sarawak,Serian,P.199 Serian,Serian,1,1970,2022,13,True
federal|Sarawak|sibu,federal,Sarawak,Sibu,P.212 Sibu,Sibu,1,1978,2022,12,True
federal|Sarawak|sibuti,federal,Sarawak,Sibuti,P.218 Sibuti,Sibuti,1,2008,2022,4,True
federal|Sarawak|simunjan,federal,Sarawak,Simunjan,P.160 Simunjan,Simunjan,1,1970,1986,5,False
federal|Sarawak|sri aman,federal,Sarawak,Sri Aman,P.202 Sri Aman,Sri Aman,1,1990,2022,8,True
federal|Sarawak|stampin,federal,Sarawak,Stampin,P.196 Stampin,Stampin,1,1999,2022,6,True
federal|Sarawak|tanjong manis,federal,Sarawak,Tanjong Manis,P.206 Tanjong Manis,Tanjong Manis,1,2008,2022,4,True
federal|Selangor|ampang,federal,Selangor,Ampang,P.099 Ampang,Ampang,1,2004,2022,5,True
federal|Selangor|ampang jaya,federal,Selangor,Ampang Jaya,P.092 Ampang Jaya,Ampang Jaya,1,1986,1999,5,False
federal|Selangor|bangi,federal,Selangor,Bangi,P.102 Bangi,Bangi,1,2018,2022,2,True
federal|Selangor|batu,federal,Selangor,Batu,P.066 Batu,Batu,1,1959,1969,3,False
federal|Selangor|bukit bintang,federal,Selangor,Bukit Bintang,P.072 Bukit Bintang,Bukit Bintang,1,1959,1969,3,False
federal|Selangor|bungsar,federal,Selangor,Bungsar,P.071 Bungsar,Bungsar,1,1959,1969,3,False
federal|Selangor|damansara,federal,Selangor,Damansara,P.106 Damansara,Damansara,1,1959,2022,5,True
federal|Selangor|gombak,federal,Selangor,Gombak,P.098 Gombak,Gombak,1,1995,2022,7,True
federal|Selangor|hulu langat,federal,Selangor,Hulu Langat,P.101 Hulu Langat,Hulu Langat / Ulu Langat,2,1974,2022,12,True
federal|Selangor|hulu selangor,federal,Selangor,Hulu Selangor,P.094 Hulu Selangor,Hulu Selangor / Ulu Selangor,2,1955,2022,18,True
federal|Selangor|kapar,federal,Selangor,Kapar,P.109 Kapar,Kapar,1,1959,2022,13,True
federal|Selangor|kelana jaya,federal,Selangor,Kelana Jaya,P.104 Kelana Jaya,Kelana Jaya,1,2004,2013,3,False
federal|Selangor|klang,federal,Selangor,Klang,P.110 Klang,Klang,1,1959,2022,12,True
federal|Selangor|kota raja,federal,Selangor,Kota Raja,P.111 Kota Raja,Kota Raja,1,2004,2022,5,True
federal|Selangor|kuala langat,federal,Selangor,Kuala Langat,P.112 Kuala Langat,Kuala Langat,1,1959,2022,15,True
federal|Selangor|kuala lumpur barat,federal,Selangor,Kuala Lumpur Barat,P.017 Kuala Lumpur Barat,Kuala Lumpur Barat,1,1955,1955,1,False
federal|Selangor|kuala lumpur timor,federal,Selangor,Kuala Lumpur Timor,P.018 Kuala Lumpur Timor,Kuala Lumpur Timor,1,1955,1955,1,False
federal|Selangor|kuala selangor,federal,Selangor,Kuala Selangor,P.096 Kuala Selangor,Kuala Selangor,1,1955,2022,17,True
federal|Selangor|langat,federal,Selangor,Langat,P.069 Langat,Langat,1,1955,1969,4,False
federal|Selangor|pandan,federal,Selangor,Pandan,P.100 Pandan,Pandan,1,2004,2022,5,True
federal|Selangor|pelabohan kelang,federal,Selangor,Pelabohan Kelang,P.079 Pelabohan Kelang,Pelabohan Kelang,1,1974,1982,4,False
federal|Selangor|petaling,federal,Selangor,Petaling,P.081 Petaling,Petaling,1,1974,1982,3,False
federal|Selangor|petaling jaya,federal,Selangor,Petaling Jaya,P.105 Petaling Jaya,Petaling Jaya,1,1986,2022,4,True
federal|Selangor|petaling jaya selatan,federal,Selangor,Petaling Jaya Selatan,P.105 Petaling Jaya Selatan,Petaling Jaya Selatan,1,2004,2013,3,False
federal|Selangor|petaling jaya utara,federal,Selangor,Petaling Jaya Utara,P.106 Petaling Jaya Utara,Petaling Jaya Utara,1,2004,2013,3,False
federal|Selangor|pj selatan,federal,Selangor,PJ Selatan,P.095 PJ Selatan,PJ Selatan,1,1995,1999,2,False
federal|Selangor|pj utara,federal,Selangor,PJ Utara,P.094 PJ Utara,PJ Utara,1,1995,1999,2,False
federal|Selangor|puchong,federal,Selangor,Puchong,P.103 Puchong,Puchong,1,1986,2022,7,True
federal|Selangor|rawang,federal,Selangor,Rawang,P.068 Rawang,Rawang,1,1959,1969,3,False
federal|Selangor|sabak bernam,federal,Selangor,Sabak Bernam,P.092 Sabak Bernam,Sabak Bernam,1,1959,2022,15,True
federal|Selangor|selangor barat,federal,Selangor,Selangor Barat,P.022 Selangor Barat,Selangor Barat,1,1955,1955,1,False
federal|Selangor|selangor tengah,federal,Selangor,Selangor Tengah,P.023 Selangor Tengah,Selangor Tengah,1,1955,1955,1,False
federal|Selangor|selayang,federal,Selangor,Selayang,P.097 Selayang,Selayang,1,1974,2022,13,True
federal|Selangor|sepang,federal,Selangor,Sepang,P.113 Sepang,Sepang,1,1959,2022,15,True
federal|Selangor|serdang,federal,Selangor,Serdang,P.102 Serdang,Serdang,1,1995,2013,5,False
federal|Selangor|setapak,federal,Selangor,Setapak,P.070 Setapak,Setapak,1,1959,1969,3,False
federal|Selangor|shah alam,federal,Selangor,Shah Alam,P.108 Shah Alam,Shah Alam,1,1974,2022,12,True
federal|Selangor|subang,federal,Selangor,Subang,P.104 Subang,Subang,1,1995,2022,7,True
federal|Selangor|sungai besar,federal,Selangor,Sungai Besar,P.093 Sungai Besar,Sungai Besar,1,2004,2022,6,True
federal|Selangor|sungai buloh,federal,Selangor,Sungai Buloh,P.107 Sungai Buloh,Sungai Buloh,1,2018,2022,2,True
federal|Selangor|tanjong karang,federal,Selangor,Tanjong Karang,P.095 Tanjong Karang,Tanjong Karang,1,1974,2022,12,True
federal|Terengganu|besut,federal,Terengganu,Besut,P.033 Besut,Besut,1,1959,2022,15,True
federal|Terengganu|dungun,federal,Terengganu,Dungun,P.039 Dungun,Dungun,1,1959,2022,15,True
federal|Terengganu|hulu nerus,federal,Terengganu,Ulu Nerus,P.029 Ulu Nerus,Ulu Nerus,1,1974,1982,3,False
federal|Terengganu|hulu terengganu,federal,Terengganu,Hulu Terengganu,P.038 Hulu Terengganu,Hulu Terengganu,1,1986,2022,9,True
federal|Terengganu|hulu trengganu,federal,Terengganu,Ulu Trengganu,P.030 Ulu Trengganu,Ulu Trengganu,1,1974,1982,3,False
federal|Terengganu|kemaman,federal,Terengganu,Kemaman,P.040 Kemaman,Kemaman,1,1959,2023,17,False
federal|Terengganu|kuala nerus,federal,Terengganu,Kuala Nerus,P.035 Kuala Nerus,Kuala Nerus,1,1974,2022,12,True
federal|Terengganu|kuala terengganu,federal,Terengganu,Kuala Terengganu,P.036 Kuala Terengganu,Kuala Terengganu,1,1986,2023,11,False
federal|Terengganu|kuala trengganu,federal,Terengganu,Kuala Trengganu,P.032 Kuala Trengganu,Kuala Trengganu,1,1974,1982,3,False
federal|Terengganu|kuala trengganu selatan,federal,Terengganu,Kuala Trengganu Selatan,P.027 Kuala Trengganu Selatan,Kuala Trengganu Selatan,1,1959,1969,4,False
federal|Terengganu|kuala trengganu utara,federal,Terengganu,Kuala Trengganu Utara,P.026 Kuala Trengganu Utara,Kuala Trengganu Utara,1,1959,1969,3,False
federal|Terengganu|marang,federal,Terengganu,Marang,P.037 Marang,Marang,1,1986,2022,9,True
federal|Terengganu|setiu,federal,Terengganu,Setiu,P.034 Setiu,Setiu,1,1986,2022,9,True
federal|Terengganu|trengganu selatan,federal,Terengganu,Trengganu Selatan,P.051 Trengganu Selatan,Trengganu Selatan,1,1955,1955,1,False
federal|Terengganu|trengganu tengah,federal,Terengganu,Trengganu Tengah,P.030 Trengganu Tengah,Trengganu Tengah,1,1955,1969,4,False
federal|Terengganu|trengganu utara,federal,Terengganu,Trengganu Utara,P.049 Trengganu Utara,Trengganu Utara,1,1955,1955,1,False
federal|W.P. Kuala Lumpur|bandar tun razak,federal,W.P. Kuala Lumpur,Bandar Tun Razak,P.124 Bandar Tun Razak,Bandar Tun Razak,1,1995,2022,7,True
federal|W.P. Kuala Lumpur|batu,federal,W.P. Kuala Lumpur,Batu,P.115 Batu,Batu,1,1986,2022,9,True
federal|W.P. Kuala Lumpur|bukit bintang,federal,W.P. Kuala Lumpur,Bukit Bintang,P.120 Bukit Bintang,Bukit Bintang,1,1986,2022,9,True
federal|W.P. Kuala Lumpur|cheras,federal,W.P. Kuala Lumpur,Cheras,P.123 Cheras,Cheras,1,1995,2022,7,True
federal|W.P. Kuala Lumpur|damansara,federal,W.P. Kuala Lumpur,Damansara,P.086 Damansara,Damansara,1,1974,1982,3,False
federal|W.P. Kuala Lumpur|kepong,federal,W.P. Kuala Lumpur,Kepong,P.114 Kepong,Kepong,1,1974,2022,12,True
federal|W.P. Kuala Lumpur|kuala lumpur bandar,federal,W.P. Kuala Lumpur,Kuala Lumpur Bandar,P.087 Kuala Lumpur Bandar,Kuala Lumpur Bandar,1,1974,1982,3,False
federal|W.P. Kuala Lumpur|lembah pantai,federal,W.P. Kuala Lumpur,Lembah Pantai,P.121 Lembah Pantai,Lembah Pantai,1,1986,2022,9,True
federal|W.P. Kuala Lumpur|segambut,federal,W.P. Kuala Lumpur,Segambut,P.117 Segambut,Segambut,1,1995,2022,7,True
federal|W.P. Kuala Lumpur|seputeh,federal,W.P. Kuala Lumpur,Seputeh,P.122 Seputeh,Seputeh,1,1986,2022,9,True
federal|W.P. Kuala Lumpur|setapak,federal,W.P. Kuala Lumpur,Setapak,P.085 Setapak,Setapak,1,1974,1982,3,False
federal|W.P. Kuala Lumpur|setiawangsa,federal,W.P. Kuala Lumpur,Setiawangsa,P.118 Setiawangsa,Setiawangsa,1,2004,2022,5,True
federal|W.P. Kuala Lumpur|sungai besi,federal,W.P. Kuala Lumpur,Sungai Besi,P.102 Sungai Besi,Sungai Besi,1,1974,1990,5,False
federal|W.P. Kuala Lumpur|titiwangsa,federal,W.P. Kuala Lumpur,Titiwangsa,P.119 Titiwangsa,Titiwangsa,1,1986,2022,9,True
federal|W.P. Kuala Lumpur|wangsa maju,federal,W.P. Kuala Lumpur,Wangsa Maju,P.116 Wangsa Maju,Wangsa Maju,1,1995,2022,7,True
federal|W.P. Labuan|labuan,federal,W.P. Labuan,Labuan,P.166 Labuan,Labuan,1,1986,2022,9,True
federal|W.P. Putrajaya|putrajaya,federal,W.P. Putrajaya,Putrajaya,P.125 Putrajaya,Putrajaya,1,2004,2022,5,True
state|Johor|ayer hitam,state,Johor,Ayer Hitam,N.12 Ayer Hitam,Ayer Hitam,1,1959,1969,3,False
state|Johor|ayer panas,state,Johor,Ayer Panas,N.02 Ayer Panas,Ayer Panas,1,1974,1982,3,False
state|Johor|bandar keluang,state,Johor,Bandar Keluang,N.06 Bandar Keluang,Bandar Keluang,1,1974,1982,3,False
state|Johor|bandar maharani,state,Johor,Bandar Maharani,N.15 Bandar Maharani,Bandar Maharani,1,1959,1982,6,False
state|Johor|bandar penggaram,state,Johor,Bandar Penggaram,N.25 Bandar Penggaram,Bandar Penggaram,1,1959,1982,7,False
state|Johor|bandar segamat,state,Johor,Bandar Segamat,N.03 Bandar Segamat,Bandar Segamat,1,1959,1982,6,False
state|Johor|bandar tenggara,state,Johor,Bandar Tenggara,N.26 Bandar Tenggara,Bandar Tenggara,1,1986,1990,2,False
state|Johor|batu anam,state,Johor,Batu Anam,N.29 Batu Anam,Batu Anam,1,1959,1969,3,False
state|Johor|bekok,state,Johor,Bekok,N.06 Bekok,Bekok,1,1959,2022,16,True
state|Johor|bentayan,state,Johor,Bentayan,N.12 Bentayan,Bentayan,1,2004,2022,5,True
state|Johor|benut,state,Johor,Benut,N.53 Benut,Benut,1,1959,2022,15,True
state|Johor|broleh,state,Johor,Broleh,N.09 Broleh,Broleh,1,1959,1969,3,False
state|Johor|bukit batu,state,Johor,Bukit Batu,N.51 Bukit Batu,Bukit Batu,1,2004,2022,5,True
state|Johor|bukit kepong,state,Johor,Bukit Kepong,N.07 Bukit Kepong,Bukit Kepong,1,2018,2022,2,True
state|Johor|bukit naning,state,Johor,Bukit Naning,N.14 Bukit Naning,Bukit Naning,1,1986,2022,9,True
state|Johor|bukit pasir,state,Johor,Bukit Pasir,N.08 Bukit Pasir,Bukit Pasir,1,2018,2022,2,True
state|Johor|bukit permai,state,Johor,Bukit Permai,N.50 Bukit Permai,Bukit Permai,1,1995,2022,7,True
state|Johor|bukit serampang,state,Johor,Bukit Serampang,N.07 Bukit Serampang,Bukit Serampang,1,1959,2013,14,False
state|Johor|buloh kasap,state,Johor,Buloh Kasap,N.01 Buloh Kasap,Buloh Kasap,1,1974,2022,8,True
state|Johor|endau,state,Johor,Endau,N.32 Endau,Endau,1,1959,2022,15,True
state|Johor|gambir,state,Johor,Gambir,N.09 Gambir,Gambir,1,2004,2022,5,True
state|Johor|gelang patah,state,Johor,Gelang Patah,N.34 Gelang Patah,Gelang Patah,1,1959,1990,8,False
state|Johor|gertak merah,state,Johor,Gertak Merah,N.32 Gertak Merah,Gertak Merah,1,1986,1990,2,False
state|Johor|gunong lambak,state,Johor,Gunong Lambak,N.13 Gunong Lambak,Gunong Lambak,1,1959,1969,3,False
state|Johor|gunung lambak,state,Johor,Gunung Lambak,N.24 Gunung Lambak,Gunung Lambak,1,1986,1999,4,False
state|Johor|jementah,state,Johor,Jementah,N.02 Jementah,Jementah,1,1986,2022,9,True
state|Johor|johor jaya,state,Johor,Johor Jaya,N.42 Johor Jaya,Johor Jaya,1,2004,2022,5,True
state|Johor|johor lama,state,Johor,Johor Lama,N.37 Johor Lama,Johor Lama,1,1974,2022,8,True
state|Johor|johore lama,state,Johor,Johore Lama,N.16 Johore Lama,Johore Lama,1,1959,1973,4,False
state|Johor|jorak,state,Johor,Jorak,N.08 Jorak,Jorak,1,1959,2013,13,False
state|Johor|kahang,state,Johor,Kahang,N.31 Kahang,Kahang,1,2004,2022,5,True
state|Johor|kemelah,state,Johor,Kemelah,N.04 Kemelah,Kemelah,1,2004,2022,5,True
state|Johor|kempas,state,Johor,Kempas,N.47 Kempas,Kempas,1,1995,2022,7,True
state|Johor|kesang,state,Johor,Kesang,N.12 Kesang,Kesang,1,1974,1982,3,False
state|Johor|kota iskandar,state,Johor,Kota Iskandar,N.49 Kota Iskandar,Kota Iskandar,1,2018,2022,2,True
state|Johor|kota tinggi,state,Johor,Kota Tinggi,N.19 Kota Tinggi,Kota Tinggi,1,1959,1982,6,False
state|Johor|kukup,state,Johor,Kukup,N.56 Kukup,Kukup,1,1974,2022,12,True
state|Johor|kulai,state,Johor,Kulai,N.27 Kulai,Kulai,1,1974,1999,7,False
state|Johor|labis,state,Johor,Labis,N.03 Labis,Labis,1,1959,1969,3,False
state|Johor|larkin,state,Johor,Larkin,N.44 Larkin,Larkin,1,2018,2022,2,True
state|Johor|layang-layang,state,Johor,Layang-Layang,N.27 Layang-Layang,Layang-Layang,1,1974,2022,8,True
state|Johor|machap,state,Johor,Machap,N.26 Machap,Machap,1,2004,2022,5,True
state|Johor|maharani,state,Johor,Maharani,N.15 Maharani,Maharani,1,1986,2022,9,True
state|Johor|mahkota,state,Johor,Mahkota,N.29 Mahkota,Mahkota,1,2004,2024,6,False
state|Johor|mengkibol,state,Johor,Mengkibol,N.28 Mengkibol,Mengkibol,1,1995,2022,7,True
state|Johor|mersing,state,Johor,Mersing,N.08 Mersing,Mersing,1,1959,1982,6,False
state|Johor|nusa jaya,state,Johor,Nusa Jaya,N.49 Nusa Jaya,Nusa Jaya,1,2004,2013,3,False
state|Johor|paloh,state,Johor,Paloh,N.30 Paloh,Paloh,1,1986,2022,9,True
state|Johor|panti,state,Johor,Panti,N.34 Panti,Panti,1,1995,2022,7,True
state|Johor|parit bakar,state,Johor,Parit Bakar,N.17 Parit Bakar,Parit Bakar,1,1959,1999,8,False
state|Johor|parit jawa,state,Johor,Parit Jawa,N.18 Parit Jawa,Parit Jawa,1,1959,1990,9,False
state|Johor|parit raja,state,Johor,Parit Raja,N.22 Parit Raja,Parit Raja,1,1974,2022,13,True
state|Johor|parit yaani,state,Johor,Parit Yaani,N.21 Parit Yaani,Parit Yaani,1,1986,2022,9,True
state|Johor|pasir gudang,state,Johor,Pasir Gudang,N.32 Pasir Gudang,Pasir Gudang,1,1986,1999,4,False
state|Johor|pasir raja,state,Johor,Pasir Raja,N.35 Pasir Raja,Pasir Raja,1,2004,2022,5,True
state|Johor|pekan nanas,state,Johor,Pekan Nanas,N.55 Pekan Nanas,Pekan Nanas,1,2018,2022,2,True
state|Johor|pekan nenas,state,Johor,Pekan Nenas,N.55 Pekan Nenas,Pekan Nenas,1,2004,2013,3,False
state|Johor|pemanis,state,Johor,Pemanis,N.03 Pemanis,Pemanis,1,2004,2022,5,True
state|Johor|penawar,state,Johor,Penawar,N.38 Penawar,Penawar,1,2004,2022,5,True
state|Johor|pengerang,state,Johor,Pengerang,N.30 Pengerang,Pengerang,1,1986,1999,4,False
state|Johor|penggaram,state,Johor,Penggaram,N.23 Penggaram,Penggaram,1,1986,2022,9,True
state|Johor|pengkalan rinting,state,Johor,Pengkalan Rinting,N.46 Pengkalan Rinting,Pengkalan Rinting,1,2004,2013,3,False
state|Johor|perling,state,Johor,Perling,N.46 Perling,Perling,1,2018,2022,2,True
state|Johor|permas,state,Johor,Permas,N.43 Permas,Permas,1,2004,2022,5,True
state|Johor|peserai,state,Johor,Peserai,N.24 Peserai,Peserai,1,1974,1982,3,False
state|Johor|plentong,state,Johor,Plentong,N.23 Plentong,Plentong,1,1959,1969,4,False
state|Johor|pontian dalam,state,Johor,Pontian Dalam,N.19 Pontian Dalam,Pontian Dalam,1,1959,1969,3,False
state|Johor|pontian kechil,state,Johor,Pontian Kechil,N.20 Pontian Kechil,Pontian Kechil,1,1959,1969,4,False
state|Johor|pulai sebatang,state,Johor,Pulai Sebatang,N.54 Pulai Sebatang,Pulai Sebatang,1,1986,2022,9,True
state|Johor|puteri wangsa,state,Johor,Puteri Wangsa,N.41 Puteri Wangsa,Puteri Wangsa,1,2004,2022,5,True
state|Johor|rengam,state,Johor,Rengam,N.21 Rengam,Rengam,1,1959,1969,3,False
state|Johor|rengit,state,Johor,Rengit,N.25 Rengit,Rengit,1,1959,2022,15,True
state|Johor|sedili,state,Johor,Sedili,N.36 Sedili,Sedili,1,1986,2022,9,True
state|Johor|semarang,state,Johor,Semarang,N.20 Semarang,Semarang,1,2004,2022,5,True
state|Johor|semerah,state,Johor,Semerah,N.17 Semerah,Semerah,1,1986,2022,9,True
state|Johor|senai,state,Johor,Senai,N.52 Senai,Senai,1,2004,2022,5,True
state|Johor|senai-kulai,state,Johor,Senai-Kulai,N.22 Senai-Kulai,Senai-Kulai,1,1959,1969,3,False
state|Johor|senggarang,state,Johor,Senggarang,N.24 Senggarang,Senggarang,1,2004,2022,5,True
state|Johor|sepinang,state,Johor,Sepinang,N.01 Sepinang,Sepinang,1,1986,1999,4,False
state|Johor|serom,state,Johor,Serom,N.11 Serom,Serom,1,1959,2022,15,True
state|Johor|simpang jeram,state,Johor,Simpang Jeram,N.13 Simpang Jeram,Simpang Jeram,1,2018,2023,3,False
state|Johor|simpang kiri,state,Johor,Simpang Kiri,N.08 Simpang Kiri,Simpang Kiri,1,1959,1969,3,False
state|Johor|simpang renggam,state,Johor,Simpang Renggam,N.25 Simpang Renggam,Simpang Renggam,1,1974,1999,7,False
state|Johor|skudai,state,Johor,Skudai,N.48 Skudai,Skudai,1,1974,2022,10,True
state|Johor|sri lalang,state,Johor,Sri Lalang,N.13 Sri Lalang,Sri Lalang,1,1959,1982,8,False
state|Johor|sri medan,state,Johor,Sri Medan,N.18 Sri Medan,Sri Medan,1,1974,2022,12,True
state|Johor|sri menanti,state,Johor,Sri Menanti,N.23 Sri Menanti,Sri Menanti,1,1974,1982,3,False
state|Johor|stulang,state,Johor,Stulang,N.45 Stulang,Stulang,1,1995,2022,7,True
state|Johor|sungai abong,state,Johor,Sungai Abong,N.13 Sungai Abong,Sungai Abong,1,2004,2013,3,False
state|Johor|sungai balang,state,Johor,Sungai Balang,N.16 Sungai Balang,Sungai Balang,1,1995,2022,7,True
state|Johor|tambatan,state,Johor,Tambatan,N.35 Tambatan,Tambatan,1,1986,1999,5,False
state|Johor|tampoi,state,Johor,Tampoi,N.26 Tampoi,Tampoi,1,1959,1969,4,False
state|Johor|tangkak,state,Johor,Tangkak,N.10 Tangkak,Tangkak,1,1959,2022,15,True
state|Johor|tanjong kupang,state,Johor,Tanjong Kupang,N.37 Tanjong Kupang,Tanjong Kupang,1,1995,1999,2,False
state|Johor|tanjong petri,state,Johor,Tanjong Petri,N.32 Tanjong Petri,Tanjong Petri,1,1959,1982,6,False
state|Johor|tanjong puteri,state,Johor,Tanjong Puteri,N.44 Tanjong Puteri,Tanjong Puteri,1,1986,2013,8,False
state|Johor|tanjong sembrong,state,Johor,Tanjong Sembrong,N.11 Tanjong Sembrong,Tanjong Sembrong,1,1959,1969,3,False
