date,state,seat,trigger,notes
1980-05-24,Sabah,N.45 Kemabong,resignation,
1980-11-15,Pulau Pinang,N.24 Pengkalan Kota,death,
1981-03-10,Sarawak,N.07 Sebandi,resignation,
1981-04-09,Sabah,P.125 Kimanis,resignation,Resigned to recontest
1981-05-04,Sarawak,P.142 Paloh,resignation,Resigned to take another appointment
1981-05-23,Sarawak,N.06 Satok,resignation,Resigned to contest another seat
1981-05-23,Sarawak,N.24 Matu-Daro,resignation,Resigned to take another appointment
1981-09-04,Sarawak,N.17 Engkilili,death,
1981-09-17,Negeri Sembilan,N.14 Ulu Muar,death,
1981-09-26,Johor,P.109 Sri Gading,resignation,
1981-11-08,Sabah,N.36 Lumadan,resignation,
1981-11-08,Sabah,N.41 Kunak,resignation,
1981-11-08,Sabah,N.47 Balung,resignation,
1982-08-14,Sarawak,N.10 Bengoh,resignation,
1982-10-01,Sabah,N.06 Tandek,resignation,
1982-10-01,Sabah,N.07 Usukan,resignation,
1982-10-16,Perak,N.22 Kepayang,resignation,
1982-12-09,Terengganu,N.10 Binjai,death,
1983-01-28,Sabah,N.01 Banggi,bankruptcy,
1983-03-16,Kedah,P.009 Ulu Muda,criminal_conviction,Resigned (would have been disqualified) after being convicted of corruption involving wholesale of rice
1983-04-09,Perak,N.02 Kenering,resignation,
1983-06-04,Pahang,N.16 Bandar Raub,death,
1983-07-16,Sabah,N.14 Tamparuli,resignation,
1983-09-08,Kelantan,N.28 Selising,voided_by_court,
1983-09-08,Kelantan,N.05 Kemumin,voided_by_court,
1983-09-24,Negeri Sembilan,P.094 Tampin,criminal_conviction,Resigned (would have been disqualified) after being convicted for murder
1983-11-19,Negeri Sembilan,P.091 Seremban,resignation,
1983-12-03,Perak,N.41 Rungkup,death,
1984-12-29,Sabah,N.18 Tambunan,resignation,Resigned after changing party
1985-01-19,Kedah,P.005 Padang Terap,resignation,Resigned to take another appointment
1985-10-12,Sabah,P.129 Ulu Padas,death,
1986-01-25,Pahang,N.18 Bandar Maran,death,
1986-01-25,Sabah,N.20 Karamunting,resignation,Resigned after changing party
1986-01-25,Sabah,N.33 Buang Sayang,resignation,Resigned after changing party
1986-01-25,Sabah,N.47 Balung,resignation,Resigned after changing party
1986-01-25,Sabah,N.22 Sukau,resignation,Resigned after changing party
1986-07-02,Sarawak,N.32 Oya,resignation,Resigned after changing party
1986-08-30,Sarawak,N.18 Batang Air,death,
1986-11-29,Sabah,N.11 Sulaman,resignation,
1987-04-04,Sarawak,P.162 Lubok Antu,death,
1987-04-18,Sabah,P.148 Limbawang,death,
1987-04-18,Sabah,N.08 Usukan,death,
1987-05-16,Perak,P.064 Gopeng,resignation,
1987-06-28,Kelantan,N.14 Bukit Tuku,death,
1987-09-19,Sabah,N.34 Bongawan,resignation,
1988-03-05,Johor,N.31 Tanjong Puteri,voided_by_court,Petition alleging improper vote tallying upheld
1988-08-25,Johor,P.130 Johor Bahru,resignation,Resigned to recontest
1988-10-20,Johor,N.20 Parit Raja,death,
1989-01-28,Selangor,P.088 Ampang Jaya,resignation,
1989-05-13,Pahang,P.079 Bentung,death,
1989-06-24,Terengganu,N.10 Teluk Pasu,death,
1989-08-05,Johor,N.33 Tambatan,death,
1989-08-12,Pahang,N.14 Teruntum,resignation,Resigned to contest another seat
1989-11-01,Selangor,N.03 Sungai Besar,death,
1989-12-09,Sabah,N.14 Ranau,resignation,Resigned after changing party
1990-03-24,Kedah,N.23 Pantai Merdeka,death,
1990-07-29,Melaka,N.01 Kuala Linggi,death,
1990-08-01,Terengganu,N.30 Kijal,death,
1990-12-08,Sabah,N.38 Sipitang,death,
1990-12-08,Sabah,N.48 Sulabayan,resignation,
1991-05-04,Kedah,N.21 Bayu,death,
1991-05-11,Sabah,N.08 Usukan,resignation,Resigned after changing party
1991-07-27,Pulau Pinang,N.09 Prai,resignation,
1991-08-24,Kelantan,N.02 Sungai Pinang,resignation,Resigned after changing party
1991-08-24,Kelantan,N.23 Limbongan,resignation,Resigned after changing party
1991-12-14,Melaka,N.17 Serkam,death,
1991-12-19,Kedah,N.02 Jerlun,death,
1992-03-04,Kedah,P.010 Jerai,death,
1992-04-21,Terengganu,N.18 Bukit Payung,voided_by_court,
1992-08-22,Sarawak,N.10 Batu Kawah,death,
1993-08-28,Pahang,N.06 Batu Talam,death,
1993-10-13,Terengganu,N.02 Kampung Raja,death,
1994-02-05,Selangor,N.14 Sementa,death,
1994-03-29,Kelantan,N.09 Lundang,death,
1994-05-28,Selangor,N.33 Shahbandar Raya,death,
1995-01-28,Sabah,N.48 Sulabayan,resignation,Resigned to take another appointment
1995-08-29,Kelantan,P.032 Gua Musang,voided_by_court,
1995-09-09,Pulau Pinang,P.043 Bagan,death,
1996-01-15,Pahang,P.075 Lipis,death,
1996-06-22,Melaka,N.08 Bukit Asahan,death,
1997-01-06,Kelantan,N.32 Pulai Chondong,death,
1997-03-16,Sarawak,N.22 Bukit Begunan,voided_by_court,Petition alleging corrupt practices upheld
1997-05-17,Perak,P.073 Telok Intan,death,
1997-05-25,Sarawak,N.52 Kemena,voided_by_court,
1997-05-29,Selangor,P.089 Kuala Selangor,resignation,Resigned to contest another seat
1997-05-29,Selangor,N.10 Permatang,resignation,Resigned to contest another seat
1997-05-29,Negeri Sembilan,N.11 Repah,death,
1997-06-14,Melaka,N.03 Melekek,death,
1997-08-11,Kelantan,N.30 Semerak,death,
1997-10-26,Sarawak,N.53 Kidurong,voided_by_court,
1997-11-08,Pulau Pinang,N.16 Sungai Bakap,death,
1997-11-08,Perak,N.11 Changkat Jering,death,
1998-07-04,Perlis,P.003 Arau,death,
2000-04-01,Pahang,N.26 Sanggang,death,
2000-06-10,Negeri Sembilan,P.119 Telok Kemang,death,
2000-11-29,Kedah,N.34 Lunas,death,
