slug,date,state,seat
p006-kubang-pasu-kedah,1982-04-22,Kedah,P.004 Kubang Pasu
p006-kubang-pasu-kedah,1978-07-08,Kedah,P.004 Kubang Pasu
p006-kubang-pasu-kedah,1974-08-24,Kedah,P.004 Kubang Pasu
p006-kubang-pasu-kedah,1969-05-10,Kedah,P.003 Jitra-Padang Terap
p006-kubang-pasu-kedah,1964-04-25,Kedah,P.003 Jitra-Padang Terap
p006-kubang-pasu-kedah,1959-05-20,Kedah,P.003 Jitra-Padang Terap
p006-kubang-pasu-kedah,1955-07-25,Kedah,P.040 Kedah Utara
p007-padang-terap-kedah,2022-11-19,Kedah,P.007 Padang Terap
p007-padang-terap-kedah,2018-05-09,Kedah,P.007 Padang Terap
p007-padang-terap-kedah,2013-05-05,Kedah,P.007 Padang Terap
p007-padang-terap-kedah,2008-03-08,Kedah,P.007 Padang Terap
p007-padang-terap-kedah,2004-03-21,Kedah,P.007 Padang Terap
p007-padang-terap-kedah,1999-11-29,Kedah,P.007 Padang Terap
p007-padang-terap-kedah,1995-04-24,Kedah,P.007 Padang Terap
p007-padang-terap-kedah,1990-10-20,Kedah,P.005 Padang Terap
p007-padang-terap-kedah,1986-08-02,Kedah,P.005 Padang Terap
p007-padang-terap-kedah,1985-01-19,Kedah,P.005 Padang Terap
p007-padang-terap-kedah,1982-04-22,Kedah,P.005 Padang Terap
p007-padang-terap-kedah,1978-07-08,Kedah,P.005 Padang Terap
p007-padang-terap-kedah,1974-08-24,Kedah,P.005 Padang Terap
p007-padang-terap-kedah,1969-05-10,Kedah,P.003 Jitra-Padang Terap
p007-padang-terap-kedah,1964-04-25,Kedah,P.003 Jitra-Padang Terap
p007-padang-terap-kedah,1959-05-20,Kedah,P.003 Jitra-Padang Terap
p007-padang-terap-kedah,1955-07-25,Kedah,P.040 Kedah Utara
p008-pokok-sena-kedah,2022-11-19,Kedah,P.008 Pokok Sena
p008-pokok-sena-kedah,2018-05-09,Kedah,P.008 Pokok Sena
p008-pokok-sena-kedah,2013-05-05,Kedah,P.008 Pokok Sena
p008-pokok-sena-kedah,2008-03-08,Kedah,P.008 Pokok Sena
p008-pokok-sena-kedah,2004-03-21,Kedah,P.008 Pokok Sena
p008-pokok-sena-kedah,1999-11-29,Kedah,P.008 Pokok Sena
p008-pokok-sena-kedah,1995-04-24,Kedah,P.008 Pokok Sena
p008-pokok-sena-kedah,1990-10-20,Kedah,P.005 Padang Terap
p008-pokok-sena-kedah,1986-08-02,Kedah,P.005 Padang Terap
p008-pokok-sena-kedah,1982-04-22,Kedah,P.005 Padang Terap
p008-pokok-sena-kedah,1978-07-08,Kedah,P.005 Padang Terap
p008-pokok-sena-kedah,1974-08-24,Kedah,P.005 Padang Terap
p008-pokok-sena-kedah,1969-05-10,Kedah,P.003 Jitra-Padang Terap
p008-pokok-sena-kedah,1964-04-25,Kedah,P.003 Jitra-Padang Terap
p008-pokok-sena-kedah,1959-05-20,Kedah,P.003 Jitra-Padang Terap
p008-pokok-sena-kedah,1955-07-25,Kedah,P.040 Kedah Utara
p009-alor-setar-kedah,2022-11-19,Kedah,P.009 Alor Setar
p009-alor-setar-kedah,2018-05-09,Kedah,P.009 Alor Setar
p009-alor-setar-kedah,2013-05-05,Kedah,P.009 Alor Star
p009-alor-setar-kedah,2008-03-08,Kedah,P.009 Alor Star
p009-alor-setar-kedah,2004-03-21,Kedah,P.009 Alor Star
p009-alor-setar-kedah,1999-11-29,Kedah,P.008 Pokok Sena
p009-alor-setar-kedah,1995-04-24,Kedah,P.008 Pokok Sena
p009-alor-setar-kedah,1990-10-20,Kedah,P.005 Padang Terap
p009-alor-setar-kedah,1986-08-02,Kedah,P.005 Padang Terap
p009-alor-setar-kedah,1982-04-22,Kedah,P.005 Padang Terap
p009-alor-setar-kedah,1978-07-08,Kedah,P.005 Padang Terap
p009-alor-setar-kedah,1974-08-24,Kedah,P.005 Padang Terap
p009-alor-setar-kedah,1969-05-10,Kedah,P.003 Jitra-Padang Terap
p009-alor-setar-kedah,1964-04-25,Kedah,P.003 Jitra-Padang Terap
p009-alor-setar-kedah,1959-05-20,Kedah,P.003 Jitra-Padang Terap
p009-alor-setar-kedah,1955-07-25,Kedah,P.040 Kedah Utara
p010-kuala-kedah-kedah,2022-11-19,Kedah,P.010 Kuala Kedah
p010-kuala-kedah-kedah,2018-05-09,Kedah,P.010 Kuala Kedah
p010-kuala-kedah-kedah,2013-05-05,Kedah,P.010 Kuala Kedah
p010-kuala-kedah-kedah,2008-03-08,Kedah,P.010 Kuala Kedah
p010-kuala-kedah-kedah,2004-03-21,Kedah,P.010 Kuala Kedah
